Selected parameters:
 1 BZ, nT (GSM)
 2 Speed, km/s
 3 Proton Density, n/cc
 4 Flow pressure, nPa
 5 SYM/D, nT

YYYY DOY HR MN      1       2      3     4     5 
2017 110  6  8   -6.44   519.7  16.36  8.84     4
2017 110  6  9   -4.41   519.7  16.36  8.84     4
2017 110  6 10   -3.45   507.9  14.59  7.53     5
2017 110  6 11   -1.64   507.4  15.26  7.86     6
2017 110  6 12   -1.59   520.8  15.45  8.38     6
2017 110  6 13   -2.84   521.2  14.43  7.84     7
2017 110  6 14   -3.35   513.7  15.69  8.28     7
2017 110  6 15   -4.12   518.3  14.85  7.98     8
2017 110  6 16   -4.20   519.4  16.58  8.95     9
2017 110  6 17   -2.81   520.7  15.00  8.13     9
2017 110  6 18   -2.03   529.5  13.67  7.67    10
2017 110  6 19   -2.56   525.6  14.46  7.99    10
2017 110  6 20   -2.05   517.9  13.35  7.16    11
2017 110  6 21   -2.46   517.7  13.98  7.49    11
2017 110  6 22   -3.95   521.2  15.01  8.15    11
2017 110  6 23   -1.61   518.9  14.64  7.88    11
2017 110  6 24   -2.17   523.5  13.76  7.54    11
2017 110  6 25   -3.37   515.9  14.88  7.92    11
2017 110  6 26   -4.52   523.2  13.96  7.64    11
2017 110  6 27   -4.15   528.7  14.31  8.00    11
2017 110  6 28   -5.40   528.7  14.31  8.00    11
2017 110  6 29   -6.38   525.3  14.54  8.02    10
2017 110  6 30   -5.66   526.4  14.51  8.04    10
2017 110  6 31   -6.15   532.8  14.32  8.13    10
2017 110  6 32   -4.59   533.4  12.83  7.30     9
2017 110  6 33   -4.28   533.4  12.83  7.30     9
2017 110  6 34   -4.08   533.5  13.79  7.85     8
2017 110  6 35   -3.00   533.5  13.79  7.85     8
2017 110  6 36   -2.67   540.7  13.83  8.09     7
2017 110  6 37   -2.54   540.7  13.83  8.09     7
2017 110  6 38   -3.27   541.4  13.66  8.01     7
2017 110  6 39   -3.23   541.4  13.66  8.01     5
2017 110  6 40   -3.06 99999.9 999.99 99.99     5
2017 110  6 41   -3.05 99999.9 999.99 99.99     5
2017 110  6 42   -3.52   534.1  12.09  6.90     4
2017 110  6 43   -3.53   534.1  12.09  6.90     4
2017 110  6 44   -3.74 99999.9 999.99 99.99     4
2017 110  6 45 9999.99 99999.9 999.99 99.99     4
2017 110  6 46   -3.68 99999.9 999.99 99.99     5
2017 110  6 47   -3.11 99999.9 999.99 99.99     4
2017 110  6 48   -3.20   503.4  14.53  7.36     4
2017 110  6 49   -3.55   503.4  14.53  7.36     4
2017 110  6 50   -3.17 99999.9 999.99 99.99     4
2017 110  6 51   -2.84   509.5  15.78  8.19     4
2017 110  6 52   -2.05   509.5  15.78  8.19     4
2017 110  6 53   -1.55   505.0  12.91  6.58     4
2017 110  6 54    1.69   505.0  12.91  6.58     5
2017 110  6 55   -3.22 99999.9 999.99 99.99     5
2017 110  6 56   -3.09 99999.9 999.99 99.99     4
2017 110  6 57    2.15   522.6  11.66  6.37     4
2017 110  6 58    1.09   512.7  12.82  6.74     4
2017 110  6 59    2.07   505.5  13.45  6.87     4
2017 110  7  0    0.71   519.1  13.20  7.11     4
2017 110  7  1    2.73   517.7  11.76  6.30     5
2017 110  7  2    4.47   519.7  13.25  7.16     5
2017 110  7  3    3.57   519.7  12.92  6.98     5
2017 110  7  4    4.84   523.6  12.57  6.89     6
2017 110  7  5    5.44   522.1  12.42  6.77     6
2017 110  7  6    5.29   524.3  13.34  7.33     7
2017 110  7  7    5.84   525.1  12.21  6.73     8
2017 110  7  8    5.97   526.6  12.40  6.88     8
2017 110  7  9    4.99   529.1  13.14  7.36     9
2017 110  7 10    6.50 99999.9 999.99 99.99     9
2017 110  7 11    5.43   522.8  11.70  6.40    10
2017 110  7 12    5.37   523.2  11.73  6.42    10
2017 110  7 13    5.50   530.0  12.50  7.02    11
2017 110  7 14    4.45   525.0  12.22  6.74    11
2017 110  7 15    5.39   542.5   9.95  5.86    10
2017 110  7 16    5.46   525.7  11.90  6.58    11
2017 110  7 17    6.39   547.9   8.65  5.19    11
2017 110  7 18    6.49   526.9  10.93  6.07    11
2017 110  7 19    4.01   526.7  10.96  6.08    11
2017 110  7 20    5.00   527.7  11.30  6.29    11
2017 110  7 21    3.32   520.7  11.58  6.28    10
2017 110  7 22    4.71   538.6   9.74  5.65    10
